Palabra/Clase, FrecPos, FrecNeg, LogPos, LogNeg
seen, 0, 2, -3.811976944336954, -3.3663606883202952
serves, 1, 1, -3.5109469486729727, -3.5424519473759766
egg, 2, 1, -3.3348556896172914, -3.5424519473759766
especially, 2, 1, -3.3348556896172914, -3.5424519473759766
400, 0, 1, -3.811976944336954, -3.5424519473759766
mom, 1, 1, -3.5109469486729727, -3.5424519473759766
immediately, 1, 2, -3.5109469486729727, -3.3663606883202952
sick, 0, 4, -3.811976944336954, -3.144511938703939
bites, 0, 2, -3.811976944336954, -3.3663606883202952
pleasant, 2, 1, -3.3348556896172914, -3.5424519473759766
always, 10, 2, -2.770584259178729, -3.3663606883202952
honor, 0, 1, -3.811976944336954, -3.5424519473759766
pizza, 10, 5, -2.770584259178729, -3.065330692656314
hut, 0, 1, -3.811976944336954, -3.5424519473759766
coupons, 0, 1, -3.811976944336954, -3.5424519473759766
gross, 0, 1, -3.811976944336954, -3.5424519473759766
first, 12, 3, -2.698033592030117, -3.2414219517119953
bathrooms, 1, 1, -3.5109469486729727, -3.5424519473759766
dirty, 0, 4, -3.811976944336954, -3.144511938703939
seat, 0, 1, -3.811976944336954, -3.5424519473759766
covers, 0, 1, -3.811976944336954, -3.5424519473759766
replenished, 0, 1, -3.811976944336954, -3.5424519473759766
plain, 0, 1, -3.811976944336954, -3.5424519473759766
yucky, 0, 1, -3.811976944336954, -3.5424519473759766
gold, 1, 1, -3.5109469486729727, -3.5424519473759766
standard, 0, 1, -3.811976944336954, -3.5424519473759766
17, 0, 1, -3.811976944336954, -3.5424519473759766
kind, 2, 1, -3.3348556896172914, -3.5424519473759766
authentic, 4, 2, -3.1130069400009353, -3.3663606883202952
spaghetti, 0, 1, -3.811976944336954, -3.5424519473759766
special, 4, 2, -3.1130069400009353, -3.3663606883202952
whatsoever, 0, 1, -3.811976944336954, -3.5424519473759766
selection, 7, 2, -2.9088869573450102, -3.3663606883202952
vegasthere, 0, 1, -3.811976944336954, -3.5424519473759766
none, 0, 1, -3.811976944336954, -3.5424519473759766
ten, 1, 1, -3.5109469486729727, -3.5424519473759766
finally, 0, 2, -3.811976944336954, -3.3663606883202952
left, 3, 3, -3.2099169530089915, -3.2414219517119953
terrible, 0, 10, -3.811976944336954, -2.802089257881733
shouldnt, 0, 1, -3.811976944336954, -3.5424519473759766
pancakes, 1, 1, -3.5109469486729727, -3.5424519473759766
eggs, 1, 1, -3.5109469486729727, -3.5424519473759766
sadly, 0, 1, -3.811976944336954, -3.5424519473759766
gordon, 0, 1, -3.811976944336954, -3.5424519473759766
ramseys, 0, 1, -3.811976944336954, -3.5424519473759766
steak, 10, 3, -2.770584259178729, -3.2414219517119953
shall, 0, 1, -3.811976944336954, -3.5424519473759766
sharply, 0, 1, -3.811976944336954, -3.5424519473759766
during, 3, 1, -3.2099169530089915, -3.5424519473759766
next, 4, 6, -3.1130069400009353, -2.998383903025701
trip, 1, 2, -3.5109469486729727, -3.3663606883202952
buffet, 5, 4, -3.03382569395331, -3.144511938703939
small, 3, 2, -3.2099169530089915, -3.3663606883202952
offered, 0, 1, -3.811976944336954, -3.5424519473759766
definitely, 8, 8, -2.8577344348976292, -2.889239433600633
turn, 0, 1, -3.811976944336954, -3.5424519473759766
ill, 3, 3, -3.2099169530089915, -3.2414219517119953
unless, 0, 2, -3.811976944336954, -3.3663606883202952
else, 0, 3, -3.811976944336954, -3.2414219517119953
buying, 0, 1, -3.811976944336954, -3.5424519473759766
find, 1, 2, -3.5109469486729727, -3.3663606883202952
despicable, 0, 1, -3.811976944336954, -3.5424519473759766
wife, 0, 2, -3.811976944336954, -3.3663606883202952
lobster, 1, 1, -3.5109469486729727, -3.5424519473759766
bisque, 0, 1, -3.811976944336954, -3.5424519473759766
soup, 1, 3, -3.5109469486729727, -3.2414219517119953
lukewarm, 0, 2, -3.811976944336954, -3.3663606883202952
stomach, 0, 3, -3.811976944336954, -3.2414219517119953
ache, 0, 1, -3.811976944336954, -3.5424519473759766
rest, 0, 1, -3.811976944336954, -3.5424519473759766
dropped, 0, 1, -3.811976944336954, -3.5424519473759766
ball, 0, 1, -3.811976944336954, -3.5424519473759766
beans, 1, 2, -3.5109469486729727, -3.3663606883202952
mediocre, 0, 5, -3.811976944336954, -3.065330692656314
best, 20, 7, -2.489757649603035, -2.940391956048014
outta, 0, 1, -3.811976944336954, -3.5424519473759766
inconsiderate, 0, 1, -3.811976944336954, -3.5424519473759766
wait, 2, 10, -3.3348556896172914, -2.802089257881733
says, 0, 1, -3.811976944336954, -3.5424519473759766
hi, 0, 1, -3.811976944336954, -3.5424519473759766
told, 2, 1, -3.3348556896172914, -3.5424519473759766
happened, 0, 2, -3.811976944336954, -3.3663606883202952
recommend, 6, 5, -2.966878904322697, -3.065330692656314
car, 0, 2, -3.811976944336954, -3.3663606883202952
breaks, 0, 1, -3.811976944336954, -3.5424519473759766
front, 0, 2, -3.811976944336954, -3.3663606883202952
starving, 0, 1, -3.811976944336954, -3.5424519473759766
deserves, 1, 2, -3.5109469486729727, -3.3663606883202952
90, 0, 1, -3.811976944336954, -3.5424519473759766
has, 9, 6, -2.811976944336954, -2.998383903025701
disgrace, 0, 1, -3.811976944336954, -3.5424519473759766
ians, 0, 1, -3.811976944336954, -3.5424519473759766
simply, 0, 2, -3.811976944336954, -3.3663606883202952
disappointment, 0, 4, -3.811976944336954, -3.144511938703939
bouchon, 0, 1, -3.811976944336954, -3.5424519473759766
accountant, 0, 1, -3.811976944336954, -3.5424519473759766
screwed, 0, 1, -3.811976944336954, -3.5424519473759766
frustrated, 0, 1, -3.811976944336954, -3.5424519473759766
total, 0, 3, -3.811976944336954, -3.2414219517119953
trying, 0, 2, -3.811976944336954, -3.3663606883202952
teeth, 0, 1, -3.811976944336954, -3.5424519473759766
sore, 0, 1, -3.811976944336954, -3.5424519473759766
completely, 1, 1, -3.5109469486729727, -3.5424519473759766
grossed, 0, 1, -3.811976944336954, -3.5424519473759766
ground, 0, 1, -3.811976944336954, -3.5424519473759766
right, 3, 3, -3.2099169530089915, -3.2414219517119953
large, 3, 1, -3.2099169530089915, -3.5424519473759766
smeared, 0, 1, -3.811976944336954, -3.5424519473759766
beensteppedinandtrackedeverywhere, 0, 1, -3.811976944336954, -3.5424519473759766
pile, 0, 1, -3.811976944336954, -3.5424519473759766
green, 1, 2, -3.5109469486729727, -3.3663606883202952
bird, 0, 1, -3.811976944336954, -3.5424519473759766
poop, 0, 1, -3.811976944336954, -3.5424519473759766
furthermore, 0, 1, -3.811976944336954, -3.5424519473759766
operation, 0, 1, -3.811976944336954, -3.5424519473759766
website, 0, 1, -3.811976944336954, -3.5424519473759766
weve, 0, 2, -3.811976944336954, -3.3663606883202952
tried, 5, 2, -3.03382569395331, -3.3663606883202952
after, 2, 10, -3.3348556896172914, -2.802089257881733
mistake, 0, 2, -3.811976944336954, -3.3663606883202952
jerk, 0, 1, -3.811976944336954, -3.5424519473759766
strike, 0, 1, -3.811976944336954, -3.5424519473759766
wants, 0, 1, -3.811976944336954, -3.5424519473759766
rushed, 0, 1, -3.811976944336954, -3.5424519473759766
appetizer, 0, 1, -3.811976944336954, -3.5424519473759766
40, 1, 3, -3.5109469486729727, -3.2414219517119953
huge, 3, 1, -3.2099169530089915, -3.5424519473759766
awkward, 0, 1, -3.811976944336954, -3.5424519473759766
15lb, 0, 1, -3.811976944336954, -3.5424519473759766
piece, 0, 3, -3.811976944336954, -3.2414219517119953
cow, 1, 1, -3.5109469486729727, -3.5424519473759766
34ths, 0, 1, -3.811976944336954, -3.5424519473759766
gristle, 0, 1, -3.811976944336954, -3.5424519473759766
fat, 0, 1, -3.811976944336954, -3.5424519473759766
dinner, 3, 3, -3.2099169530089915, -3.2414219517119953
dollars, 0, 1, -3.811976944336954, -3.5424519473759766
sauce, 5, 2, -3.03382569395331, -3.3663606883202952
anytime, 0, 5, -3.811976944336954, -3.065330692656314
connoisseur, 0, 1, -3.811976944336954, -3.5424519473759766
difference, 0, 1, -3.811976944336954, -3.5424519473759766
certainly, 0, 1, -3.811976944336954, -3.5424519473759766
last, 3, 2, -3.2099169530089915, -3.3663606883202952
lunch, 2, 5, -3.3348556896172914, -3.065330692656314
chicken, 8, 6, -2.8577344348976292, -2.998383903025701
wings, 2, 2, -3.3348556896172914, -3.3663606883202952
contained, 0, 1, -3.811976944336954, -3.5424519473759766
driest, 0, 2, -3.811976944336954, -3.3663606883202952
meat, 2, 5, -3.3348556896172914, -3.065330692656314
eaten, 3, 1, -3.2099169530089915, -3.5424519473759766
paid, 0, 2, -3.811976944336954, -3.3663606883202952
manager, 2, 2, -3.3348556896172914, -3.3663606883202952
carlys, 0, 1, -3.811976944336954, -3.5424519473759766
due, 0, 1, -3.811976944336954, -3.5424519473759766
fact, 3, 1, -3.2099169530089915, -3.5424519473759766
acknowledged, 0, 2, -3.811976944336954, -3.3663606883202952
35, 0, 3, -3.811976944336954, -3.2414219517119953
foodand, 0, 1, -3.811976944336954, -3.5424519473759766
forgetting, 0, 1, -3.811976944336954, -3.5424519473759766
note, 1, 1, -3.5109469486729727, -3.5424519473759766
ventilation, 0, 1, -3.811976944336954, -3.5424519473759766
use, 0, 1, -3.811976944336954, -3.5424519473759766
upgrading, 0, 1, -3.811976944336954, -3.5424519473759766
letdown, 0, 1, -3.811976944336954, -3.5424519473759766
rather, 0, 3, -3.811976944336954, -3.2414219517119953
camelback, 0, 1, -3.811976944336954, -3.5424519473759766
flower, 1, 1, -3.5109469486729727, -3.5424519473759766
shop, 0, 1, -3.811976944336954, -3.5424519473759766
cartel, 0, 1, -3.811976944336954, -3.5424519473759766
cheese, 1, 1, -3.5109469486729727, -3.5424519473759766
bill, 1, 2, -3.5109469486729727, -3.3663606883202952
leave, 1, 2, -3.5109469486729727, -3.3663606883202952
bring, 1, 4, -3.5109469486729727, -3.144511938703939
limited, 0, 1, -3.811976944336954, -3.5424519473759766
boiled, 0, 1, -3.811976944336954, -3.5424519473759766
crab, 0, 2, -3.811976944336954, -3.3663606883202952
legs, 0, 2, -3.811976944336954, -3.3663606883202952
long, 0, 5, -3.811976944336954, -3.065330692656314
attached, 0, 1, -3.811976944336954, -3.5424519473759766
gas, 0, 1, -3.811976944336954, -3.5424519473759766
station, 0, 1, -3.811976944336954, -3.5424519473759766
sign, 0, 1, -3.811976944336954, -3.5424519473759766
worse, 0, 3, -3.811976944336954, -3.2414219517119953
humiliated, 0, 1, -3.811976944336954, -3.5424519473759766
his, 4, 2, -3.1130069400009353, -3.3663606883202952
worker, 0, 1, -3.811976944336954, -3.5424519473759766
mebunch, 0, 1, -3.811976944336954, -3.5424519473759766
name, 0, 1, -3.811976944336954, -3.5424519473759766
callings, 0, 1, -3.811976944336954, -3.5424519473759766
tragedy, 0, 1, -3.811976944336954, -3.5424519473759766
struck, 0, 1, -3.811976944336954, -3.5424519473759766
airline, 0, 1, -3.811976944336954, -3.5424519473759766
seriously, 3, 3, -3.2099169530089915, -3.2414219517119953
impressed, 1, 6, -3.5109469486729727, -2.998383903025701
noca, 0, 1, -3.811976944336954, -3.5424519473759766
gyro, 0, 1, -3.811976944336954, -3.5424519473759766
lettuce, 0, 1, -3.811976944336954, -3.5424519473759766
thoroughly, 0, 1, -3.811976944336954, -3.5424519473759766
drive, 2, 2, -3.3348556896172914, -3.3663606883202952
anyway, 1, 1, -3.5109469486729727, -3.5424519473759766
greasy, 0, 1, -3.811976944336954, -3.5424519473759766
unhealthy, 0, 1, -3.811976944336954, -3.5424519473759766
meal, 4, 6, -3.1130069400009353, -2.998383903025701
might, 0, 1, -3.811976944336954, -3.5424519473759766
similarly, 0, 1, -3.811976944336954, -3.5424519473759766
delivery, 0, 1, -3.811976944336954, -3.5424519473759766
man, 0, 1, -3.811976944336954, -3.5424519473759766
apology, 0, 1, -3.811976944336954, -3.5424519473759766
45, 0, 1, -3.811976944336954, -3.5424519473759766
late, 1, 1, -3.5109469486729727, -3.5424519473759766
way, 4, 9, -3.1130069400009353, -2.843481943039958
expensive, 0, 1, -3.811976944336954, -3.5424519473759766
martini, 0, 1, -3.811976944336954, -3.5424519473759766
thirty, 0, 1, -3.811976944336954, -3.5424519473759766
seated, 2, 2, -3.3348556896172914, -3.3663606883202952
8, 2, 1, -3.3348556896172914, -3.5424519473759766
vacant, 0, 1, -3.811976944336954, -3.5424519473759766
folks, 3, 1, -3.2099169530089915, -3.5424519473759766
its, 11, 8, -2.7327956982893293, -2.889239433600633
found, 1, 4, -3.5109469486729727, -3.144511938703939
strangers, 0, 1, -3.811976944336954, -3.5424519473759766
hello, 0, 1, -3.811976944336954, -3.5424519473759766
desserts, 2, 1, -3.3348556896172914, -3.5424519473759766
strange, 0, 1, -3.811976944336954, -3.5424519473759766
guess, 0, 2, -3.811976944336954, -3.3663606883202952
maybe, 0, 3, -3.811976944336954, -3.2414219517119953
disgraceful, 0, 1, -3.811976944336954, -3.5424519473759766
however, 0, 2, -3.811976944336954, -3.3663606883202952
recent, 1, 1, -3.5109469486729727, -3.5424519473759766
particular, 0, 1, -3.811976944336954, -3.5424519473759766
restaurants, 0, 2, -3.811976944336954, -3.3663606883202952
something, 1, 2, -3.5109469486729727, -3.3663606883202952
suffers, 0, 1, -3.811976944336954, -3.5424519473759766
hard, 0, 3, -3.811976944336954, -3.2414219517119953
vinegrette, 1, 1, -3.5109469486729727, -3.5424519473759766
baby, 1, 1, -3.5109469486729727, -3.5424519473759766
greens, 0, 1, -3.811976944336954, -3.5424519473759766
hearts, 0, 1, -3.811976944336954, -3.5424519473759766
palm, 0, 1, -3.811976944336954, -3.5424519473759766
two, 3, 5, -3.2099169530089915, -3.065330692656314
disgusting, 0, 2, -3.811976944336954, -3.3663606883202952
recommended, 2, 1, -3.3348556896172914, -3.5424519473759766
anyone, 1, 1, -3.5109469486729727, -3.5424519473759766
forth, 0, 1, -3.811976944336954, -3.5424519473759766
several, 2, 1, -3.3348556896172914, -3.5424519473759766
helped, 1, 1, -3.5109469486729727, -3.5424519473759766
consider, 0, 1, -3.811976944336954, -3.5424519473759766
theft, 0, 1, -3.811976944336954, -3.5424519473759766
eew, 0, 1, -3.811976944336954, -3.5424519473759766
needs, 1, 3, -3.5109469486729727, -3.2414219517119953
complete, 0, 1, -3.811976944336954, -3.5424519473759766
overhaul, 0, 1, -3.811976944336954, -3.5424519473759766
recently, 1, 1, -3.5109469486729727, -3.5424519473759766
witnessed, 0, 1, -3.811976944336954, -3.5424519473759766
guests, 0, 1, -3.811976944336954, -3.5424519473759766
tasted, 2, 6, -3.3348556896172914, -2.998383903025701
super, 5, 2, -3.03382569395331, -3.3663606883202952
chewy, 1, 1, -3.5109469486729727, -3.5424519473759766
swung, 0, 1, -3.811976944336954, -3.5424519473759766
deeply, 0, 1, -3.811976944336954, -3.5424519473759766
sucker, 0, 1, -3.811976944336954, -3.5424519473759766
dry, 0, 4, -3.811976944336954, -3.144511938703939
rated, 0, 2, -3.811976944336954, -3.3663606883202952
thai, 2, 2, -3.3348556896172914, -3.3663606883202952
where, 3, 1, -3.2099169530089915, -3.5424519473759766
pulled, 1, 2, -3.5109469486729727, -3.3663606883202952
15, 0, 1, -3.811976944336954, -3.5424519473759766
those, 2, 1, -3.3348556896172914, -3.5424519473759766
cheap, 0, 2, -3.811976944336954, -3.3663606883202952
black, 1, 1, -3.5109469486729727, -3.5424519473759766
olives, 0, 1, -3.811976944336954, -3.5424519473759766
kids, 1, 2, -3.5109469486729727, -3.3663606883202952
play, 0, 1, -3.811976944336954, -3.5424519473759766
area, 4, 1, -3.1130069400009353, -3.5424519473759766
extremely, 0, 2, -3.811976944336954, -3.3663606883202952
crumby, 0, 1, -3.811976944336954, -3.5424519473759766
pale, 0, 1, -3.811976944336954, -3.5424519473759766
color, 0, 2, -3.811976944336954, -3.3663606883202952
instead, 0, 1, -3.811976944336954, -3.5424519473759766
nice, 20, 3, -2.489757649603035, -3.2414219517119953
char, 0, 1, -3.811976944336954, -3.5424519473759766
sitting, 0, 2, -3.811976944336954, -3.3663606883202952
fairly, 0, 2, -3.811976944336954, -3.3663606883202952
fast, 4, 1, -3.1130069400009353, -3.5424519473759766
arrived, 1, 1, -3.5109469486729727, -3.5424519473759766
wanted, 0, 3, -3.811976944336954, -3.2414219517119953
owners, 3, 2, -3.2099169530089915, -3.3663606883202952
need, 2, 1, -3.3348556896172914, -3.5424519473759766
quit, 0, 1, -3.811976944336954, -3.5424519473759766
soooooo, 0, 1, -3.811976944336954, -3.5424519473759766
wrap, 0, 1, -3.811976944336954, -3.5424519473759766
freaking, 0, 1, -3.811976944336954, -3.5424519473759766
sandwich, 4, 3, -3.1130069400009353, -3.2414219517119953
papers, 0, 1, -3.811976944336954, -3.5424519473759766
couple, 1, 1, -3.5109469486729727, -3.5424519473759766
years, 2, 1, -3.3348556896172914, -3.5424519473759766
ago, 2, 1, -3.3348556896172914, -3.5424519473759766
reheated, 0, 1, -3.811976944336954, -3.5424519473759766
ok, 0, 3, -3.811976944336954, -3.2414219517119953
wedges, 0, 1, -3.811976944336954, -3.5424519473759766
soggy, 0, 2, -3.811976944336954, -3.3663606883202952
sorry, 0, 1, -3.811976944336954, -3.5424519473759766
friend, 0, 1, -3.811976944336954, -3.5424519473759766
bloody, 0, 1, -3.811976944336954, -3.5424519473759766
mary, 0, 1, -3.811976944336954, -3.5424519473759766
despite, 0, 1, -3.811976944336954, -3.5424519473759766
rate, 0, 1, -3.811976944336954, -3.5424519473759766
businesses, 0, 1, -3.811976944336954, -3.5424519473759766
actually, 1, 1, -3.5109469486729727, -3.5424519473759766
rare, 1, 2, -3.5109469486729727, -3.3663606883202952
thru, 0, 1, -3.811976944336954, -3.5424519473759766
means, 0, 2, -3.811976944336954, -3.3663606883202952
half, 1, 2, -3.5109469486729727, -3.3663606883202952
somehow, 0, 1, -3.811976944336954, -3.5424519473759766
end, 1, 1, -3.5109469486729727, -3.5424519473759766
make, 4, 4, -3.1130069400009353, -3.144511938703939
luck, 0, 1, -3.811976944336954, -3.5424519473759766
noncustomer, 0, 1, -3.811976944336954, -3.5424519473759766
focused, 0, 2, -3.811976944336954, -3.3663606883202952
new, 3, 2, -3.2099169530089915, -3.3663606883202952
grandmother, 0, 1, -3.811976944336954, -3.5424519473759766
roasted, 0, 1, -3.811976944336954, -3.5424519473759766
multiple, 1, 1, -3.5109469486729727, -3.5424519473759766
wine, 2, 2, -3.3348556896172914, -3.3663606883202952
list, 1, 2, -3.5109469486729727, -3.3663606883202952
ignored, 0, 1, -3.811976944336954, -3.5424519473759766
hostess, 0, 1, -3.811976944336954, -3.5424519473759766
myself, 0, 1, -3.811976944336954, -3.5424519473759766
same, 0, 2, -3.811976944336954, -3.3663606883202952
evening, 1, 1, -3.5109469486729727, -3.5424519473759766
him, 2, 1, -3.3348556896172914, -3.5424519473759766
both, 5, 2, -3.03382569395331, -3.3663606883202952
drastically, 0, 1, -3.811976944336954, -3.5424519473759766
madhouse, 0, 1, -3.811976944336954, -3.5424519473759766
greatest, 0, 1, -3.811976944336954, -3.5424519473759766
moods, 0, 1, -3.811976944336954, -3.5424519473759766
werent, 0, 1, -3.811976944336954, -3.5424519473759766
somewhat, 0, 1, -3.811976944336954, -3.5424519473759766
edible, 0, 3, -3.811976944336954, -3.2414219517119953
promise, 1, 1, -3.5109469486729727, -3.5424519473759766
fails, 0, 1, -3.811976944336954, -3.5424519473759766
deliver, 0, 1, -3.811976944336954, -3.5424519473759766
average, 0, 4, -3.811976944336954, -3.144511938703939
big, 1, 2, -3.5109469486729727, -3.3663606883202952
bay, 2, 2, -3.3348556896172914, -3.3663606883202952
plater, 0, 1, -3.811976944336954, -3.5424519473759766
poorly, 0, 1, -3.811976944336954, -3.5424519473759766
constructed, 0, 1, -3.811976944336954, -3.5424519473759766
google, 0, 1, -3.811976944336954, -3.5424519473759766
imagine, 0, 1, -3.811976944336954, -3.5424519473759766
smashburger, 0, 1, -3.811976944336954, -3.5424519473759766
pop, 1, 1, -3.5109469486729727, -3.5424519473759766
lover, 0, 1, -3.811976944336954, -3.5424519473759766
plantains, 0, 1, -3.811976944336954, -3.5424519473759766
attentive, 5, 1, -3.03382569395331, -3.5424519473759766
spends, 0, 1, -3.811976944336954, -3.5424519473759766
talking, 0, 1, -3.811976944336954, -3.5424519473759766
themselves, 0, 1, -3.811976944336954, -3.5424519473759766
brunch, 2, 1, -3.3348556896172914, -3.5424519473759766
fail, 0, 2, -3.811976944336954, -3.3663606883202952
honest, 1, 1, -3.5109469486729727, -3.5424519473759766
expected, 0, 1, -3.811976944336954, -3.5424519473759766
amazing, 20, 2, -2.489757649603035, -3.3663606883202952
quickly, 2, 1, -3.3348556896172914, -3.5424519473759766
mortified, 0, 1, -3.811976944336954, -3.5424519473759766
needless, 0, 2, -3.811976944336954, -3.3663606883202952
anyways, 0, 1, -3.811976944336954, -3.5424519473759766
filling, 1, 1, -3.5109469486729727, -3.5424519473759766
price, 3, 2, -3.2099169530089915, -3.3663606883202952
should, 0, 5, -3.811976944336954, -3.065330692656314
expect, 2, 3, -3.3348556896172914, -3.2414219517119953
dripping, 0, 1, -3.811976944336954, -3.5424519473759766
mostly, 0, 1, -3.811976944336954, -3.5424519473759766
strip, 2, 1, -3.3348556896172914, -3.5424519473759766
work, 1, 1, -3.5109469486729727, -3.5424519473759766
hospitality, 0, 1, -3.811976944336954, -3.5424519473759766
industry, 0, 1, -3.811976944336954, -3.5424519473759766
paradise, 0, 1, -3.811976944336954, -3.5424519473759766
valley, 0, 1, -3.811976944336954, -3.5424519473759766
refrained, 0, 1, -3.811976944336954, -3.5424519473759766
recommending, 0, 1, -3.811976944336954, -3.5424519473759766
cibo, 0, 1, -3.811976944336954, -3.5424519473759766
longer, 0, 2, -3.811976944336954, -3.3663606883202952
mean, 0, 1, -3.811976944336954, -3.5424519473759766
famous, 0, 1, -3.811976944336954, -3.5424519473759766
fish, 2, 2, -3.3348556896172914, -3.3663606883202952
thing, 5, 3, -3.03382569395331, -3.2414219517119953
reading, 0, 1, -3.811976944336954, -3.5424519473759766
tonight, 0, 1, -3.811976944336954, -3.5424519473759766
elk, 0, 1, -3.811976944336954, -3.5424519473759766
filet, 0, 1, -3.811976944336954, -3.5424519473759766
specialand, 0, 1, -3.811976944336954, -3.5424519473759766
sucked, 0, 2, -3.811976944336954, -3.3663606883202952
classics, 0, 1, -3.811976944336954, -3.5424519473759766
dishes, 4, 5, -3.1130069400009353, -3.065330692656314
sorely, 0, 1, -3.811976944336954, -3.5424519473759766
fly, 0, 2, -3.811976944336954, -3.3663606883202952
apple, 0, 1, -3.811976944336954, -3.5424519473759766
juice, 0, 1, -3.811976944336954, -3.5424519473759766
barely, 0, 5, -3.811976944336954, -3.065330692656314
server, 8, 4, -2.8577344348976292, -3.144511938703939
ryans, 0, 1, -3.811976944336954, -3.5424519473759766
bar, 5, 2, -3.03382569395331, -3.3663606883202952
edinburgh, 0, 1, -3.811976944336954, -3.5424519473759766
revisiting, 0, 1, -3.811976944336954, -3.5424519473759766
wouldnt, 0, 2, -3.811976944336954, -3.3663606883202952
touched, 0, 1, -3.811976944336954, -3.5424519473759766
stood, 0, 1, -3.811976944336954, -3.5424519473759766
begin, 0, 1, -3.811976944336954, -3.5424519473759766
awkwardly, 0, 1, -3.811976944336954, -3.5424519473759766
opened, 0, 1, -3.811976944336954, -3.5424519473759766
prices, 8, 1, -2.8577344348976292, -3.5424519473759766
inflate, 0, 1, -3.811976944336954, -3.5424519473759766
portions, 3, 2, -3.2099169530089915, -3.3663606883202952
smaller, 0, 1, -3.811976944336954, -3.5424519473759766
grow, 0, 1, -3.811976944336954, -3.5424519473759766
rapidly, 0, 1, -3.811976944336954, -3.5424519473759766
main, 0, 1, -3.811976944336954, -3.5424519473759766
crowd, 0, 2, -3.811976944336954, -3.3663606883202952
older, 0, 1, -3.811976944336954, -3.5424519473759766
mid, 0, 2, -3.811976944336954, -3.3663606883202952
30s, 0, 1, -3.811976944336954, -3.5424519473759766
drink, 3, 1, -3.2099169530089915, -3.5424519473759766
arepas, 0, 1, -3.811976944336954, -3.5424519473759766
thats, 1, 1, -3.5109469486729727, -3.5424519473759766
clean, 7, 2, -2.9088869573450102, -3.3663606883202952
oh, 2, 1, -3.3348556896172914, -3.5424519473759766
beef, 3, 1, -3.2099169530089915, -3.5424519473759766
shoe, 0, 1, -3.811976944336954, -3.5424519473759766
leather, 0, 1, -3.811976944336954, -3.5424519473759766
beyond, 0, 1, -3.811976944336954, -3.5424519473759766
real, 1, 2, -3.5109469486729727, -3.3663606883202952
traditional, 0, 1, -3.811976944336954, -3.5424519473759766
hunan, 0, 1, -3.811976944336954, -3.5424519473759766
style, 0, 3, -3.811976944336954, -3.2414219517119953
bother, 0, 2, -3.811976944336954, -3.3663606883202952
frozen, 0, 2, -3.811976944336954, -3.3663606883202952
margaritas, 1, 1, -3.5109469486729727, -3.5424519473759766
sugary, 0, 1, -3.811976944336954, -3.5424519473759766
nutshell, 0, 1, -3.811976944336954, -3.5424519473759766
restaraunt, 0, 1, -3.811976944336954, -3.5424519473759766
smells, 0, 1, -3.811976944336954, -3.5424519473759766
combination, 1, 1, -3.5109469486729727, -3.5424519473759766
market, 0, 1, -3.811976944336954, -3.5424519473759766
sewer, 0, 1, -3.811976944336954, -3.5424519473759766
girlfriends, 0, 1, -3.811976944336954, -3.5424519473759766
veal, 0, 1, -3.811976944336954, -3.5424519473759766
flavorless, 0, 2, -3.811976944336954, -3.3663606883202952
describing, 0, 1, -3.811976944336954, -3.5424519473759766
tepid, 0, 1, -3.811976944336954, -3.5424519473759766
chains, 0, 1, -3.811976944336954, -3.5424519473759766
fan, 1, 1, -3.5109469486729727, -3.5424519473759766
beat, 1, 2, -3.5109469486729727, -3.3663606883202952
easily, 0, 1, -3.811976944336954, -3.5424519473759766
once, 4, 2, -3.1130069400009353, -3.3663606883202952
arrives, 0, 1, -3.811976944336954, -3.5424519473759766
meh, 0, 1, -3.811976944336954, -3.5424519473759766
paying, 0, 1, -3.811976944336954, -3.5424519473759766
785, 0, 1, -3.811976944336954, -3.5424519473759766
hot, 4, 4, -3.1130069400009353, -3.144511938703939
dog, 1, 1, -3.5109469486729727, -3.5424519473759766
looks, 0, 1, -3.811976944336954, -3.5424519473759766
wienerschnitzel, 0, 1, -3.811976944336954, -3.5424519473759766
idea, 0, 1, -3.811976944336954, -3.5424519473759766
brother, 0, 1, -3.811976944336954, -3.5424519473759766
law, 0, 1, -3.811976944336954, -3.5424519473759766
works, 0, 1, -3.811976944336954, -3.5424519473759766
mall, 1, 1, -3.5109469486729727, -3.5424519473759766
ate, 1, 1, -3.5109469486729727, -3.5424519473759766
pissd, 0, 1, -3.811976944336954, -3.5424519473759766
these, 2, 2, -3.3348556896172914, -3.3663606883202952
vegetables, 1, 3, -3.5109469486729727, -3.2414219517119953
overcooked, 0, 1, -3.811976944336954, -3.5424519473759766
high, 1, 2, -3.5109469486729727, -3.3663606883202952
hopes, 0, 1, -3.811976944336954, -3.5424519473759766
since, 5, 1, -3.03382569395331, -3.5424519473759766
burgers, 1, 2, -3.5109469486729727, -3.3663606883202952
cooked, 5, 1, -3.03382569395331, -3.5424519473759766
charcoal, 0, 1, -3.811976944336954, -3.5424519473759766
grill, 0, 1, -3.811976944336954, -3.5424519473759766
fell, 1, 1, -3.5109469486729727, -3.5424519473759766
flat, 0, 2, -3.811976944336954, -3.3663606883202952
employee, 0, 1, -3.811976944336954, -3.5424519473759766
needed, 0, 1, -3.811976944336954, -3.5424519473759766
refill, 0, 1, -3.811976944336954, -3.5424519473759766
negligent, 0, 1, -3.811976944336954, -3.5424519473759766
unwelcome, 0, 1, -3.811976944336954, -3.5424519473759766
suggest, 0, 1, -3.811976944336954, -3.5424519473759766
